step,time,reward,cost,goal_error_norm,d_min,risk_global,beta,closest_link,safety_violation,collision,success,qdot_norm,acc_norm,jerk_norm,qdot_requested_norm,safety_filter_status,safety_filter_intervention_norm,safety_filter_safe_stop,safety_filter_active_constraints,safety_filter_constraint_count,safety_filter_active_constraint_categories,safety_filter_max_constraint_category,safety_filter_projection_iterations,safety_filter_fallback_used,safety_filter_qp_solver_used,safety_filter_qp_solver_status,safety_filter_fallback_stage,safety_filter_max_constraint_violation,predictive_risk_status,predictive_h_min_m,safety_filter_solve_time_s
36,1.85,0.046396210628954576,0.10918790847063065,0.2867097854614258,0.3202366232872009,0.10918787866830826,0.35,3,0,0,0,0.8129002451896667,2.628612756729126,38.89960479736328,0.8129001259803772,filtered,1.8007343546356445e-07,0,0,12,,workspace_y_upper,0,0,1,solved,osqp,0.0,valid,0.19749985842742152,0.004841907881200314
37,1.9000000000000001,0.06981447398220753,0.1069507896900177,0.2688245177268982,0.323119193315506,0.1069507971405983,0.35,3,0,0,0,0.8298957943916321,2.522524356842041,14.717218399047852,0.8298957943916321,filtered,4.0929473407662694e-08,0,0,12,,workspace_y_upper,0,0,1,solved,osqp,0.0,valid,0.2002366055091574,0.0029081692919135094
38,1.9500000000000002,0.09271117691350811,0.10474173724651337,0.25084781646728516,0.3260352611541748,0.10474173724651337,0.35,3,0,0,0,0.835252583026886,1.6686955690383911,27.076196670532227,0.835252583026886,passthrough,1.0646761667968138e-09,0,0,12,,workspace_y_upper,0,0,1,solved,osqp,0.0,valid,0.20311919297016945,0.004803411662578583
39,2.0,0.09585223239696289,0.10201223939657211,0.23377127945423126,0.3297390341758728,0.10201224684715271,0.35,3,0,0,0,0.828061044216156,1.4668750762939453,24.539329528808594,0.828061044216156,passthrough,1.066906898898158e-09,0,0,12,,workspace_y_upper,0,0,1,solved,osqp,0.0,valid,0.20603524668289125,0.004533629864454269
40,2.0500000000000003,0.08671589814645825,0.09848228096961975,0.21817757189273834,0.33470505475997925,0.09848227351903915,0.35,3,0,0,0,0.7940049171447754,1.6901220083236694,23.956315994262695,0.7940049171447754,passthrough,9.888582844375974e-10,0,0,12,,workspace_y_upper,0,0,1,solved,osqp,0.0,valid,0.20973907057774877,0.0047948891296982765
41,2.1,0.07823038648825836,0.09447374194860458,0.20394662022590637,0.34060534834861755,0.09447374194860458,0.35,3,0,0,0,0.7588563561439514,1.6265109777450562,15.29229736328125,0.7588563561439514,passthrough,8.933533677379089e-10,0,0,12,,workspace_y_upper,0,0,1,solved,osqp,0.0,valid,0.2147050651497142,0.004503391683101654
42,2.15,0.07193415897284366,0.09041724354028702,0.19086812436580658,0.3468870520591736,0.09041724354028702,0.35,3,0,0,0,0.7455176711082458,1.4150660037994385,21.754119873046875,0.7455176711082458,passthrough,8.889705936794905e-10,0,0,12,,workspace_y_upper,0,0,1,solved,osqp,0.0,valid,0.22060536038606432,0.004418457858264446
43,2.2,0.05767378276295798,0.08734571188688278,0.17923398315906525,0.3518723249435425,0.08734570443630219,0.35,2,0,0,0,0.7399418354034424,1.2058424949645996,10.916869163513184,0.7399418354034424,passthrough,9.479101059018591e-10,0,0,12,,workspace_y_upper,0,0,1,solved,osqp,0.0,valid,0.22688704222764383,0.004889747127890587
44,2.25,0.04015610657533228,0.08452418446540833,0.16912101209163666,0.3566417694091797,0.08452419936656952,0.35,2,0,0,0,0.7351258397102356,1.2221076488494873,5.1131672859191895,0.7351258397102356,passthrough,1.0102572074874937e-09,0,0,12,,workspace_y_upper,0,0,1,solved,osqp,0.0,valid,0.23187233256209266,0.004521401599049568
45,2.3000000000000003,0.02273881207828693,0.08120361715555191,0.16047440469264984,0.3625090420246124,0.08120360225439072,0.35,2,0,0,0,0.7245915532112122,1.3872088193893433,11.224085807800293,0.7245915532112122,passthrough,1.043944019640845e-09,0,0,12,,workspace_y_upper,0,0,1,solved,osqp,0.0,valid,0.2366417872173241,0.003127124160528183
