episode,seed,seed_manifest,reward,cost,length,success,collision,collision_any,collision_capsule_overlap,collision_pybullet_contact,termination_collision,termination_reason,collision_termination_mode,unavoidable_collision,avoidable_collision,collision_contact_link_indices,collision_contact_link_names,collision_min_contact_distance,non_end_link_collision,final_position_error,completion_time,min_distance,mean_risk,max_risk,safety_violation_count,safety_violation_rate,safety_filter_intervention_rate,mean_safety_filter_intervention_norm,safety_filter_safe_stop_rate,safety_filter_infeasible_rate,safety_filter_projection_failure_rate,safety_filter_fallback_rate,safety_filter_qp_used_rate,safety_filter_qp_timeout_rate,safety_filter_compute_budget_stop_rate,predictive_near_miss_rate,min_predictive_h_m,mean_safety_filter_solve_time_s,max_safety_filter_solve_time_s,mean_safety_filter_predictive_risk_time_s,mean_safety_filter_jacobian_workspace_time_s,mean_safety_filter_projection_time_s,mean_action_variation,rms_acceleration,rms_jerk,recovery_triggered,recovery_success,recovery_steps,recovery_duration_s,initially_unsafe,initial_predictive_h_m
33,9034,configs/experiments/reaching_recovery/manifests/v1_final.json,21.648062630173094,2.7768165934830904,82,1,0,0,0,0,0,,any,0,0,,,nan,0,0.05434204638004303,4.1000000000000005,0.36367204785346985,0.03386361699369622,0.0805644616484642,0,0.0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.18827262459459101,1.9606388807296753,48.42561721801758,0,0,0,0.0,0,nan
34,9035,configs/experiments/reaching_recovery/manifests/v1_final.json,20.83130600699351,0.621642729267478,11,1,0,0,0,0,0,,any,0,0,,,nan,0,0.04919491708278656,0.55,0.5697068572044373,0.056512975387952545,0.1321108490228653,0,0.0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.5749608373100107,4.9087300300598145,114.19145965576172,0,0,0,0.0,0,nan
35,9036,configs/experiments/reaching_recovery/manifests/v1_final.json,20.87338174254375,1.204553633928299,5,1,0,0,0,0,0,,any,0,0,,,nan,0,0.04162934795022011,0.25,0.48462003469467163,0.24091072678565978,0.28231674432754517,0,0.0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.40661215484142305,4.234882354736328,96.76521301269531,0,0,0,0.0,0,nan
36,9037,configs/experiments/reaching_recovery/manifests/v1_final.json,22.98339708020391,0.5788739509880543,9,1,0,0,0,0,0,,any,0,0,,,nan,0,0.05020499974489212,0.45,0.36392179131507874,0.06431932788756159,0.08042802661657333,0,0.0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.44157187309530044,4.222863674163818,90.98851013183594,0,0,0,0.0,0,nan
37,9038,configs/experiments/reaching_recovery/manifests/v1_final.json,23.00468100802642,0.3672051914036274,15,1,0,0,0,0,0,,any,0,0,,,nan,0,0.05427573248744011,0.75,0.5211952328681946,0.024480346093575158,0.04521641507744789,0,0.0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.31905043522516885,2.967754364013672,65.54715728759766,0,0,0,0.0,0,nan
38,9039,configs/experiments/reaching_recovery/manifests/v1_final.json,19.6791646211512,1.4881369471549988,4,1,0,0,0,0,0,,any,0,0,,,nan,0,0.05174288898706436,0.2,0.25752758979797363,0.3720342367887497,0.42613741755485535,0,0.0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.4902896583080292,4.640746116638184,109.73759460449219,0,0,0,0.0,0,nan
39,9040,configs/experiments/reaching_recovery/manifests/v1_final.json,24.108078551144573,1.8495037611573935,15,1,0,0,0,0,0,,any,0,0,,,nan,0,0.04355219006538391,0.75,0.4411166310310364,0.12330025074382624,0.264178603887558,0,0.0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.37244578699270886,3.643366813659668,64.10317993164062,0,0,0,0.0,0,nan
40,9041,configs/experiments/reaching_recovery/manifests/v1_final.json,22.27665168139991,1.2814074251800776,26,1,0,0,0,0,0,,any,0,0,,,nan,0,0.04783296957612038,1.3,0.27662724256515503,0.04928490096846452,0.1504916101694107,0,0.0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.2827694138082174,2.7731664180755615,54.65617752075195,0,0,0,0.0,0,nan
41,9042,configs/experiments/reaching_recovery/manifests/v1_final.json,20.993547730258403,1.7760509923100471,16,1,0,0,0,0,0,,any,0,0,,,nan,0,0.05394933000206947,0.8,0.33517977595329285,0.11100318701937795,0.18479439616203308,0,0.0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.2718493016436696,2.5757968425750732,51.05356979370117,0,0,0,0.0,0,nan
42,9043,configs/experiments/reaching_recovery/manifests/v1_final.json,19.231923197768708,5.514671862125397,17,1,0,0,0,0,0,,any,0,0,,,nan,0,0.05389125272631645,0.8500000000000001,0.27343738079071045,0.3243924624779645,0.39244991540908813,0,0.0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.26861662461477165,2.508286237716675,45.761024475097656,0,0,0,0.0,0,nan
