step,total_steps,episode,episode_length,latest_reward,latest_cost,episode_reward,episode_cost,risk_global,d_min,success,collision,collision_any,collision_capsule_overlap,collision_pybullet_contact,termination_collision,safety_filter_status,safety_filter_intervention_norm,safety_filter_safe_stop,safety_filter_max_constraint_violation,predictive_h_min_m,predictive_max_link_speed_bound_mps,predictive_link_velocity_norms_mps,safety_filter_solve_time_s,lambda,alpha,replay_size
32000,200000,298,54,0.048755019701386695,0.0,-1.4566826647128628,0.0,0.0,1.5,0,0,0,0,0,0,not_enabled,nan,False,nan,nan,nan,,nan,0.0,0.008546101860702038,32000
32500,200000,302,4,0.06689327331764211,0.0,0.05462278870695128,0.0,0.0,1.5,0,0,0,0,0,0,not_enabled,nan,False,nan,nan,nan,,nan,0.0,0.008342365734279156,32500
33000,200000,312,3,-0.05456231536973185,0.0,-0.5340868760836069,0.0,0.0,1.5,0,0,0,0,0,0,not_enabled,nan,False,nan,nan,nan,,nan,0.0,0.00837016198784113,33000
33500,200000,327,14,0.01814298805204885,0.0,0.6026380507165615,0.0,0.0,1.5,0,0,0,0,0,0,not_enabled,nan,False,nan,nan,nan,,nan,0.0,0.0083285141736269,33500
34000,200000,335,189,-0.1030488001760753,0.0,-5.662571998141587,0.0,0.0,1.5,0,0,0,0,0,0,not_enabled,nan,False,nan,nan,nan,,nan,0.0,0.008306431584060192,34000
34500,200000,352,6,0.17764323945826363,0.0,0.6158095626865974,0.0,0.0,1.5,0,0,0,0,0,0,not_enabled,nan,False,nan,nan,nan,,nan,0.0,0.008308356627821922,34500
35000,200000,359,239,-0.1688986515549098,0.0,-10.327848173122751,0.0,0.0,1.5,0,0,0,0,0,0,not_enabled,nan,False,nan,nan,nan,,nan,0.0,0.008200018666684628,35000
35500,200000,376,27,0.18860914981574947,0.0,1.0574480622075961,0.0,0.0,1.5,0,0,0,0,0,0,not_enabled,nan,False,nan,nan,nan,,nan,0.0,0.008174560032784939,35500
36000,200000,392,21,0.21554456579334777,0.0,1.8741553099110506,0.0,0.0,1.5,0,0,0,0,0,0,not_enabled,nan,False,nan,nan,nan,,nan,0.0,0.008260718546807766,36000
36500,200000,407,2,0.06558911111432501,0.0,-0.02501270928244828,0.0,0.0,1.5,0,0,0,0,0,0,not_enabled,nan,False,nan,nan,nan,,nan,0.0,0.008107159286737442,36500
37000,200000,414,1,-0.7249766118118999,0.0,-0.7249766118118999,0.0,0.0,1.5,0,0,0,0,0,0,not_enabled,nan,False,nan,nan,nan,,nan,0.0,0.007931462489068508,37000
37500,200000,424,127,0.08714349051889685,0.0,-0.04716723333281016,0.0,0.0,1.5,0,0,0,0,0,0,not_enabled,nan,False,nan,nan,nan,,nan,0.0,0.007778906729072332,37500
38000,200000,435,25,0.11910590183313377,0.0,2.313851765831567,0.0,0.0,1.5,0,0,0,0,0,0,not_enabled,nan,False,nan,nan,nan,,nan,0.0,0.007792431395500898,38000
38500,200000,445,33,-0.07067820630074069,0.0,1.2009888350321611,0.0,0.0,1.5,0,0,0,0,0,0,not_enabled,nan,False,nan,nan,nan,,nan,0.0,0.007679665461182594,38500
39000,200000,457,30,0.20855487993493596,0.0,-4.540629689390502,0.0,0.0,1.5,0,0,0,0,0,0,not_enabled,nan,False,nan,nan,nan,,nan,0.0,0.007677897345274687,39000
39500,200000,475,17,0.17371792523911886,0.0,0.20565997248916204,0.0,0.0,1.5,0,0,0,0,0,0,not_enabled,nan,False,nan,nan,nan,,nan,0.0,0.007487750146538019,39500
40000,200000,488,7,0.23917864179658335,0.0,1.21362075684818,0.0,0.0,1.5,0,0,0,0,0,0,not_enabled,nan,False,nan,nan,nan,,nan,0.0,0.0072753275744616985,40000
40500,200000,509,24,0.16052750400624013,0.0,2.386691598113727,0.0,0.0,1.5,0,0,0,0,0,0,not_enabled,nan,False,nan,nan,nan,,nan,0.0,0.007409893441945314,40500
41000,200000,520,15,0.2567360933681123,0.0,2.9757850917988953,0.0,0.0,1.5,0,0,0,0,0,0,not_enabled,nan,False,nan,nan,nan,,nan,0.0,0.0073168640956282616,41000
41500,200000,538,4,0.02064517262125918,0.0,-0.7488818655033376,0.0,0.0,1.5,0,0,0,0,0,0,not_enabled,nan,False,nan,nan,nan,,nan,0.0,0.007399548310786486,41500
42000,200000,553,10,0.13481912178701236,0.0,-0.6308577565219421,0.0,0.0,1.5,0,0,0,0,0,0,not_enabled,nan,False,nan,nan,nan,,nan,0.0,0.007567225489765406,42000
42500,200000,562,42,-0.17960521889708916,0.0,-0.9056211190828113,0.0,0.0,1.5,0,0,0,0,0,0,not_enabled,nan,False,nan,nan,nan,,nan,0.0,0.007471832446753979,42500
43000,200000,571,50,-0.10168604277413017,0.0,-1.9512686207734709,0.0,0.0,1.5,0,0,0,0,0,0,not_enabled,nan,False,nan,nan,nan,,nan,0.0,0.007582934107631445,43000
43500,200000,584,22,0.20249719056435947,0.0,2.925664215904227,0.0,0.0,1.5,0,0,0,0,0,0,not_enabled,nan,False,nan,nan,nan,,nan,0.0,0.007499127183109522,43500
44000,200000,601,5,0.179349313542061,0.0,0.3946419040986027,0.0,0.0,1.5,0,0,0,0,0,0,not_enabled,nan,False,nan,nan,nan,,nan,0.0,0.007327547762542963,44000
44500,200000,617,76,-0.011706423433404365,0.0,0.8122375161178998,0.0,0.0,1.5,0,0,0,0,0,0,not_enabled,nan,False,nan,nan,nan,,nan,0.0,0.00726868724450469,44500
45000,200000,622,23,-0.046062836235054264,0.0,2.39980650865477,0.0,0.0,1.5,0,0,0,0,0,0,not_enabled,nan,False,nan,nan,nan,,nan,0.0,0.007198711857199669,45000
45500,200000,636,2,-0.6646147473485761,0.0,-1.523798781826966,0.0,0.0,1.5,0,0,0,0,0,0,not_enabled,nan,False,nan,nan,nan,,nan,0.0,0.007129634730517864,45500
46000,200000,654,40,0.15603995572688686,0.0,2.7020515151408437,0.0,0.0,1.5,0,0,0,0,0,0,not_enabled,nan,False,nan,nan,nan,,nan,0.0,0.00703825056552887,46000
46500,200000,673,9,-0.051838423068600877,0.0,0.5399601269624843,0.0,0.0,1.5,0,0,0,0,0,0,not_enabled,nan,False,nan,nan,nan,,nan,0.0,0.00707787973806262,46500
47000,200000,685,7,0.11629650952847681,0.0,0.42278583947286213,0.0,0.0,1.5,0,0,0,0,0,0,not_enabled,nan,False,nan,nan,nan,,nan,0.0,0.006949201226234436,47000
47500,200000,697,28,0.13203350339635936,0.0,3.015997863297446,0.0,0.0,1.5,0,0,0,0,0,0,not_enabled,nan,False,nan,nan,nan,,nan,0.0,0.006982353515923023,47500
48000,200000,713,8,0.13765008005039242,0.0,-0.08162498131405749,0.0,0.0,1.5,0,0,0,0,0,0,not_enabled,nan,False,nan,nan,nan,,nan,0.0,0.006896423641592264,48000
48500,200000,733,12,0.14854338279121684,0.0,2.0130995383277477,0.0,0.0,1.5,0,0,0,0,0,0,not_enabled,nan,False,nan,nan,nan,,nan,0.0,0.007028041873127222,48500
49000,200000,749,15,0.04125465620825253,0.0,-2.6153227838529314,0.0,0.0,1.5,0,0,0,0,0,0,not_enabled,nan,False,nan,nan,nan,,nan,0.0,0.007120230700820684,49000
49500,200000,768,16,0.27489420583190877,0.0,2.2928902151709543,0.0,0.0,1.5,0,0,0,0,0,0,not_enabled,nan,False,nan,nan,nan,,nan,0.0,0.007038529496639967,49500
50000,200000,789,28,-0.04647717385672099,0.0,2.410781532400663,0.0,0.0,1.5,0,0,0,0,0,0,not_enabled,nan,False,nan,nan,nan,,nan,0.0,0.007002959493547678,50000
50500,200000,804,122,0.03873471416067332,0.0,-3.5577957080738,0.0,0.0,1.5,0,0,0,0,0,0,not_enabled,nan,False,nan,nan,nan,,nan,0.0,0.006859628949314356,50500
51000,200000,820,6,0.2575720962757734,0.0,-0.0496951643316752,0.0,0.0,1.5,0,0,0,0,0,0,not_enabled,nan,False,nan,nan,nan,,nan,0.0,0.007020499091595411,51000
51500,200000,839,8,0.2900422701488485,0.0,1.0095995468215393,0.0,0.0,1.5,0,0,0,0,0,0,not_enabled,nan,False,nan,nan,nan,,nan,0.0,0.006949290167540312,51500
52000,200000,851,19,0.18026134727072254,0.0,2.9524695328179646,0.0,0.0,1.5,0,0,0,0,0,0,not_enabled,nan,False,nan,nan,nan,,nan,0.0,0.006863418035209179,52000
52500,200000,856,188,-0.13628267129909874,0.0,-1.4672792949269904,0.0,0.0,1.5,0,0,0,0,0,0,not_enabled,nan,False,nan,nan,nan,,nan,0.0,0.007042571436613798,52500
53000,200000,865,213,0.09431162487192857,0.0,-2.5170881096366737,0.0,0.0,1.5,0,0,0,0,0,0,not_enabled,nan,False,nan,nan,nan,,nan,0.0,0.007003186736255884,53000
53500,200000,884,15,0.23868227194735112,0.0,3.2662028500467986,0.0,0.0,1.5,0,0,0,0,0,0,not_enabled,nan,False,nan,nan,nan,,nan,0.0,0.006802304647862911,53500
54000,200000,889,212,-0.3186750827165043,0.0,-12.707808160136556,0.0,0.0,1.5,0,0,0,0,0,0,not_enabled,nan,False,nan,nan,nan,,nan,0.0,0.006580011453479528,54000
54500,200000,909,10,0.38564604876855746,0.0,2.3390654695298596,0.0,0.0,1.5,0,0,0,0,0,0,not_enabled,nan,False,nan,nan,nan,,nan,0.0,0.006521287839859724,54500
55000,200000,915,2,0.17856650578061753,0.0,0.270591724344978,0.0,0.0,1.5,0,0,0,0,0,0,not_enabled,nan,False,nan,nan,nan,,nan,0.0,0.006615098100155592,55000
