step,time,reward,cost,goal_error_norm,d_min,risk_global,beta,closest_link,safety_violation,collision,success,qdot_norm,acc_norm,jerk_norm,qdot_requested_norm,safety_filter_status,safety_filter_intervention_norm,safety_filter_safe_stop,safety_filter_active_constraints,safety_filter_constraint_count,safety_filter_active_constraint_categories,safety_filter_max_constraint_category,safety_filter_projection_iterations,safety_filter_fallback_used,safety_filter_qp_solver_used,safety_filter_qp_solver_status,safety_filter_fallback_stage,safety_filter_max_constraint_violation,predictive_risk_status,predictive_h_min_m,safety_filter_solve_time_s
39,2.0,-0.10005866742499608,0.1266675591468811,0.1775987297296524,0.2998211681842804,0.1266675740480423,0.35,5,0,0,0,1.0231561660766602,1.4105697870254517,77.75746154785156,1.0231552124023438,filtered,1.4227438500554692e-06,0,0,12,,workspace_y_lower,0,0,1,solved,osqp,0.0,valid,0.15949337624675614,0.004544342868030071
40,2.0500000000000003,-0.12309779311662915,0.10948799550533295,0.17493084073066711,0.31985509395599365,0.10948801785707474,0.35,5,0,0,0,0.9863618016242981,2.074129819869995,32.84787368774414,0.9863618016242981,passthrough,5.279985934838696e-12,0,0,12,,workspace_y_lower,0,0,1,solved,osqp,0.0,valid,0.17982121197479456,0.004376840777695179
41,2.1,-0.11716068750728376,0.09448219835758209,0.1728440821170807,0.3405925929546356,0.0944821909070015,0.35,5,0,0,0,0.9442007541656494,2.213573455810547,27.697439193725586,0.9442007541656494,passthrough,5.273861770798344e-12,0,0,12,,workspace_y_lower,0,0,1,solved,osqp,0.0,valid,0.19985511714990928,0.004314839839935303
42,2.15,-0.09348021565335743,0.082342728972435,0.17019830644130707,0.3604637682437897,0.08234274387359619,0.35,3,0,0,0,0.8991168737411499,2.874929189682007,25.26878547668457,0.8991168737411499,passthrough,7.361310557617445e-12,0,0,12,,workspace_y_lower,0,0,1,solved,osqp,0.0,valid,0.22059259002785986,0.004099159501492977
43,2.2,-0.06266286650541651,0.07446412742137909,0.16642454266548157,0.3753793239593506,0.07446413487195969,0.35,3,0,0,0,0.8926712870597839,2.705975294113159,19.420209884643555,0.8926701545715332,filtered,1.5395263839420814e-06,0,0,12,,workspace_y_lower,0,0,1,solved,osqp,0.0,valid,0.24046378351191444,0.004156417213380337
44,2.25,-0.05468758991357909,0.06712666898965836,0.16277483105659485,0.39116477966308594,0.06712667644023895,0.35,3,0,0,0,0.9286566972732544,1.6261569261550903,41.08014678955078,0.9286566972732544,passthrough,5.17616191329502e-12,0,0,12,,workspace_y_lower,0,0,1,solved,osqp,0.0,valid,0.255379339522456,0.004259414970874786
45,2.3000000000000003,-0.08928894699651567,0.06076842546463013,0.16145335137844086,0.4067542552947998,0.06076842546463013,0.35,3,0,0,0,0.9531081914901733,1.3144824504852295,36.77983093261719,0.9531081914901733,passthrough,5.252140176225588e-12,0,0,12,,workspace_y_lower,0,0,1,solved,osqp,0.0,valid,0.27116481866276376,0.004331738688051701
46,2.35,-0.10060019589067709,0.055235955864191055,0.16107241809368134,0.4221912622451782,0.055235959589481354,0.35,3,0,0,0,0.9691735506057739,1.8231605291366577,30.32955551147461,0.9691728949546814,filtered,9.013771282887152e-07,0,0,12,,workspace_y_lower,0,0,1,solved,osqp,0.0,valid,0.2867542463443856,0.0043028853833675385
47,2.4000000000000004,-0.08708591179074135,0.050698570907115936,0.16020621359348297,0.4365251958370209,0.05069855600595474,0.35,2,0,0,0,0.9395632743835449,2.543541193008423,43.189762115478516,0.9395620822906494,filtered,1.5173804141007639e-06,0,0,12,,workspace_y_lower,0,0,1,solved,osqp,0.0,valid,0.30219129136041123,0.004059475846588612
48,2.45,-0.06017574592534352,0.04785298928618431,0.1580062210559845,0.44647470116615295,0.04785299673676491,0.35,2,0,0,0,0.8684858679771423,4.461715221405029,57.57542037963867,0.8684847354888916,filtered,1.3141047929019432e-06,0,0,12,,workspace_y_lower,0,0,1,solved,osqp,0.0,valid,0.3165251761079985,0.004070840775966644
49,2.5,-0.07123236877118332,0.04539681226015091,0.15662209689617157,0.4557805359363556,0.04539680853486061,0.35,2,0,0,0,0.8311923146247864,4.109536170959473,38.364925384521484,0.83119136095047,filtered,1.1884508101889716e-06,0,0,12,,workspace_y_lower,0,0,1,solved,osqp,0.0,valid,0.3264747229653548,0.004293770529329777
50,2.5500000000000003,-0.08313976457383383,0.043153613805770874,0.1560530960559845,0.46495988965034485,0.04315361753106117,0.35,2,0,0,0,0.7791669368743896,3.902599573135376,43.06295394897461,0.7791669368743896,passthrough,4.784067909418817e-12,0,0,12,,workspace_y_lower,0,0,1,solved,osqp,0.0,valid,0.33578052419851984,0.0039244238287210464
51,2.6,-0.07859473564942562,0.04095669835805893,0.15538029372692108,0.47468647360801697,0.04095669090747833,0.35,2,0,0,0,0.7246891856193542,3.824144124984741,45.588314056396484,0.7246885895729065,filtered,9.113768249540867e-07,0,0,12,,workspace_y_lower,0,0,1,solved,osqp,0.0,valid,0.34495992681082716,0.0036336639896035194
52,2.6500000000000004,-0.042958781520620236,0.03873379901051521,0.15297582745552063,0.485402375459671,0.03873380273580551,0.35,2,0,0,0,0.6915804743766785,2.6498451232910156,63.22057342529297,0.6915801167488098,filtered,5.69751910633245e-07,0,0,12,,workspace_y_lower,0,0,1,solved,osqp,0.0,valid,0.354686447442318,0.002664119005203247
53,2.7,-0.03861556534012408,0.03656844049692154,0.15051478147506714,0.4968503415584564,0.03656844049692154,0.35,2,0,0,0,0.6688733100891113,3.219555377960205,71.57942199707031,0.6688728928565979,filtered,5.983758030937841e-07,0,0,12,,workspace_y_lower,0,0,1,solved,osqp,0.0,valid,0.3654023992957017,0.0026426156982779503
54,2.75,-0.07973592599027002,0.03460471332073212,0.15045110881328583,0.5082702040672302,0.034604717046022415,0.35,2,0,0,0,0.6310360431671143,3.1721415519714355,61.96585464477539,0.6310360431671143,passthrough,1.1808253053089373e-09,0,0,12,,workspace_y_lower,0,0,1,solved,osqp,0.0,valid,0.37685038469691307,0.0026278262957930565
55,2.8000000000000003,-0.08303024568067643,0.03290681540966034,0.15063144266605377,0.5191039443016052,0.03290681168437004,0.35,2,0,0,0,0.5095090270042419,3.8700876235961914,97.79066467285156,0.5095090270042419,passthrough,9.017796460369852e-10,0,0,12,,workspace_y_lower,0,0,1,solved,osqp,0.0,valid,0.3882701964366634,0.0026493920013308525
56,2.85,-0.04571353260200939,0.031339503824710846,0.14869578182697296,0.5300544500350952,0.031339507550001144,0.35,2,0,0,0,0.2999104857444763,7.067568302154541,101.95378112792969,0.2999104857444763,passthrough,3.442098085305941e-10,0,0,12,,workspace_y_lower,0,0,1,solved,osqp,0.0,valid,0.3991039122250507,0.004216117784380913
57,2.9000000000000004,0.0073216767550357345,0.029810737818479538,0.14418180286884308,0.5417943000793457,0.02981073036789894,0.35,2,0,0,0,0.324018269777298,5.042243480682373,71.20372772216797,0.324018269777298,passthrough,6.28316741990464e-10,0,0,12,,workspace_y_lower,0,0,1,solved,osqp,0.0,valid,0.41005444872448515,0.004031938500702381
58,2.95,0.08275659653514111,0.02833067998290062,0.13584643602371216,0.5543711185455322,0.028330683708190918,0.35,2,0,0,0,0.38124945759773254,4.517541408538818,121.41756439208984,0.38124945759773254,passthrough,6.052037951834865e-10,0,0,12,,workspace_y_lower,0,0,1,solved,osqp,0.0,valid,0.4217942302323324,0.004022140987217426
59,3.0,0.09202359693193016,0.026940587908029556,0.12732164561748505,0.5675195455551147,0.026940586045384407,0.35,2,0,0,0,0.43834933638572693,4.539206504821777,56.60176467895508,0.43834933638572693,passthrough,8.266865774153588e-10,0,0,12,,workspace_y_lower,0,0,1,solved,osqp,0.0,valid,0.4343711251288772,0.004133382812142372
60,3.0500000000000003,0.06574936264988644,0.0256821196526289,0.12059417366981506,0.5808088779449463,0.025682127103209496,0.35,2,0,0,0,0.48412609100341797,2.402297258377075,55.008934020996094,0.48412609100341797,passthrough,1.0445881019040573e-09,0,0,12,,workspace_y_lower,0,0,1,solved,osqp,0.0,valid,0.44751949216799625,0.0038900086656212807
61,3.1,0.005432836873790717,0.024618612602353096,0.11732392013072968,0.5933146476745605,0.024618614464998245,0.35,2,0,0,0,0.3456023335456848,3.5823311805725098,98.1093521118164,0.3456023335456848,passthrough,8.568586171748595e-10,0,0,12,,workspace_y_lower,0,0,1,solved,osqp,0.0,valid,0.46080891534335044,0.004434259608387947
62,3.1500000000000004,-0.01717276806130208,0.023679014295339584,0.11539080739021301,0.6055640578269958,0.023679012432694435,0.35,2,0,0,0,0.27955955266952515,4.073948860168457,61.711883544921875,0.27955955266952515,passthrough,6.799470343108068e-10,0,0,12,,workspace_y_lower,0,0,1,solved,osqp,0.0,valid,0.47331463400824736,0.004295414313673973
63,3.2,-0.03338359598129756,0.022828880697488785,0.11446899175643921,0.617839515209198,0.022828878834843636,0.35,2,0,0,0,0.3716000020503998,3.0677297115325928,47.730262756347656,0.3716000020503998,passthrough,8.919710037501889e-10,0,0,12,,workspace_y_lower,0,0,1,solved,osqp,0.0,valid,0.48556401682176176,0.004182401113212109
64,3.25,-0.02736885228211627,0.022062212228775024,0.11332889646291733,0.6301013827323914,0.022062215954065323,0.35,2,0,0,0,0.40698403120040894,1.1894443035125732,46.0787467956543,0.40698403120040894,passthrough,9.506769226585213e-10,0,0,12,,workspace_y_lower,0,0,1,solved,osqp,0.0,valid,0.49783946985036664,0.004219071939587593
65,3.3000000000000003,0.009093660884469654,0.021358665078878403,0.11027511209249496,0.642575204372406,0.0213586688041687,0.35,2,0,0,0,0.42023858428001404,1.3949625492095947,33.0178108215332,0.42023858428001404,passthrough,9.330882683380472e-10,0,0,12,,workspace_y_lower,0,0,1,solved,osqp,0.0,valid,0.5101013820491694,0.004060177132487297
66,3.35,0.035896831120885896,0.020700914785265923,0.10585802048444748,0.6555406451225281,0.020700914785265923,0.35,2,0,0,0,0.4325996935367584,2.2317304611206055,33.96580123901367,0.4325996935367584,passthrough,8.821657256520471e-10,0,0,12,,workspace_y_lower,0,0,1,solved,osqp,0.0,valid,0.5225751958765233,0.0026584183797240257
67,3.4000000000000004,0.025852932410320474,0.020100438967347145,0.10212316364049911,0.6687402129173279,0.020100438967347145,0.35,2,0,0,0,0.4242270886898041,2.039045572280884,31.75003433227539,0.4242270886898041,passthrough,8.015719696657416e-10,0,0,12,,workspace_y_lower,0,0,1,solved,osqp,0.0,valid,0.5355406345979977,0.0026188846677541733
68,3.45,-0.0027759186599586316,0.019568651914596558,0.10005562752485275,0.6817805767059326,0.019568651914596558,0.35,2,0,0,0,0.41282036900520325,2.001648426055908,44.1848030090332,0.41282036900520325,passthrough,7.949392798259974e-10,0,0,12,,workspace_y_lower,0,0,1,solved,osqp,0.0,valid,0.5487402336318227,0.0026038754731416702
69,3.5,-0.012255853266635076,0.01918642595410347,0.09856082499027252,0.6921141147613525,0.01918642595410347,0.35,0,0,0,0,0.4186954200267792,2.3396589756011963,38.08436965942383,0.4186954200267792,passthrough,8.542828956673644e-10,0,0,12,,workspace_y_lower,0,0,1,solved,osqp,0.0,valid,0.5617805844013065,0.002546161413192749
70,3.5500000000000003,-0.010518578734315227,0.018830563873052597,0.0970430076122284,0.7026068568229675,0.018830565735697746,0.35,0,0,0,0,0.4522518813610077,1.3192307949066162,26.78498077392578,0.4522518813610077,passthrough,9.665494941880824e-10,0,0,12,,workspace_y_lower,0,0,1,solved,osqp,0.0,valid,0.5721140687839591,0.002581162378191948
71,3.6,-0.01170659976871038,0.018498679623007774,0.09564299881458282,0.7132954597473145,0.018498681485652924,0.35,0,0,0,0,0.4694914221763611,1.06260085105896,30.251373291015625,0.4694914221763611,passthrough,1.023585845193422e-09,0,0,12,,workspace_y_lower,0,0,1,solved,osqp,0.0,valid,0.5826068495943045,0.00257079117000103
72,3.6500000000000004,-0.025481997331251664,0.01818995736539364,0.09503772854804993,0.7241727113723755,0.018189959228038788,0.35,0,0,0,0,0.4788306653499603,1.1070910692214966,13.958147048950195,0.4788306653499603,passthrough,1.0871216357558224e-09,0,0,12,,workspace_y_lower,0,0,1,solved,osqp,0.0,valid,0.5932954630916251,0.0025838175788521767
73,3.7,-0.044761162406120436,0.01790349930524826,0.09550180286169052,0.7352315187454224,0.01790349930524826,0.35,0,0,0,0,0.5046671032905579,1.622149109840393,28.91497802734375,0.5046671032905579,passthrough,1.2224544244579759e-09,0,0,12,,workspace_y_lower,0,0,1,solved,osqp,0.0,valid,0.6041726854325388,0.002780894748866558
74,3.75,-0.06300900165880882,0.0176383163779974,0.09695425629615784,0.7464652061462402,0.0176383163779974,0.35,0,0,0,0,0.5432595610618591,2.0646255016326904,12.815346717834473,0.5432595610618591,passthrough,1.3934387199102422e-09,0,0,12,,workspace_y_lower,0,0,1,solved,osqp,0.0,valid,0.6152315237407379,0.003032643347978592
