episode,step,reset_seed,reset_source,episode_reward,episode_cost,episode_length,success,collision,collision_any,collision_capsule_overlap,collision_pybullet_contact,termination_collision,termination_reason,safety_violation_rate,min_distance,mean_risk,safety_filter_intervention_rate,mean_safety_filter_intervention_norm,safety_filter_safe_stop_rate,safety_filter_infeasible_rate,safety_filter_projection_failure_rate,predictive_near_miss_rate,min_predictive_h_m,mean_safety_filter_solve_time_s,lambda,alpha
74,523439,9152,focused,22.37110405908978,1.0686736516654491,40,1,0,0,0,0,0,,0.0,0.570053219795227,0.026716841291636227,nan,nan,nan,nan,nan,nan,nan,nan,0.0,0.01144375465810299
75,523451,9066,focused,26.303367006762127,0.2779040839523077,12,1,0,0,0,0,0,,0.0,0.6356003284454346,0.02315867366269231,nan,nan,nan,nan,nan,nan,nan,nan,0.0,0.01144375465810299
76,523691,9091,focused,-43.81862674085894,20.232117261737585,240,0,0,0,0,0,0,,0.0,0.34716930985450745,0.08430048859057328,nan,nan,nan,nan,nan,nan,nan,nan,0.0,0.01144375465810299
77,523707,9122,focused,15.802003919618606,6.481835231184959,16,1,0,0,0,0,0,,0.0,0.1901094615459442,0.40511470194905996,nan,nan,nan,nan,nan,nan,nan,nan,0.0,0.01144375465810299
78,523947,152517424,random,-51.12552693704916,17.23348192870617,240,0,0,0,0,0,0,,0.0,0.3682072162628174,0.07180617470294237,nan,nan,nan,nan,nan,nan,nan,nan,0.0,0.01144375465810299
79,523957,925625725,random,25.88170403882388,0.40353548899292946,10,1,0,0,0,0,0,,0.0,0.4967389702796936,0.04035354889929295,nan,nan,nan,nan,nan,nan,nan,nan,0.0,0.01144375465810299
80,523970,489178586,random,23.65111351591243,1.6964936032891273,13,1,0,0,0,0,0,,0.0,0.20971006155014038,0.13049950794531748,nan,nan,nan,nan,nan,nan,nan,nan,0.0,0.01144375465810299
81,524210,558110416,random,-194.42278130712393,80.18891428411007,240,0,0,0,0,0,0,,0.0,0.13685433566570282,0.334120476183792,nan,nan,nan,nan,nan,nan,nan,nan,0.0,0.01144375465810299
82,524450,1014280929,random,-59.90178329618047,27.360856771469116,240,0,0,0,0,0,0,,0.0,0.30174878239631653,0.11400356988112131,nan,nan,nan,nan,nan,nan,nan,nan,0.0,0.01144375465810299
83,524690,9091,focused,-44.00658985628551,20.344857942312956,240,0,0,0,0,0,0,,0.0,0.3479694426059723,0.08477024142630399,nan,nan,nan,nan,nan,nan,nan,nan,0.0,0.01144375465810299
84,524716,9034,focused,24.465226594625943,1.1615407802164555,26,1,0,0,0,0,0,,0.0,0.3605307638645172,0.044674645392940596,nan,nan,nan,nan,nan,nan,nan,nan,0.0,0.01144375465810299
85,524730,1377085732,random,24.177180733657988,1.1504654753953218,14,1,0,0,0,0,0,,0.0,0.5409271121025085,0.08217610538538013,nan,nan,nan,nan,nan,nan,nan,nan,0.0,0.01144375465810299
86,524745,784648340,random,22.680129807035716,1.3741955235600471,15,1,0,0,0,0,0,,0.0,0.48124969005584717,0.09161303490400315,nan,nan,nan,nan,nan,nan,nan,nan,0.0,0.01144375465810299
87,524754,1231166881,random,25.551726506451995,0.37399761006236076,9,1,0,0,0,0,0,,0.0,0.46504783630371094,0.04155529000692897,nan,nan,nan,nan,nan,nan,nan,nan,0.0,0.01144375465810299
88,524779,1699885447,random,25.3121403550427,0.6839549969881773,25,1,0,0,0,0,0,,0.0,0.39320430159568787,0.027358199879527093,nan,nan,nan,nan,nan,nan,nan,nan,0.0,0.01144375465810299
89,524800,2002927326,random,22.7679764594071,1.6084252558648586,21,1,0,0,0,0,0,,0.0,0.321156769990921,0.07659167885070756,nan,nan,nan,nan,nan,nan,nan,nan,0.0,0.01144375465810299
90,524807,327139370,random,22.983340773910697,0.5981775000691414,7,1,0,0,0,0,0,,0.0,0.3578346073627472,0.08545392858130592,nan,nan,nan,nan,nan,nan,nan,nan,0.0,0.01144375465810299
91,524815,1068449658,random,23.649733270385525,0.4634391739964485,8,1,0,0,0,0,0,,0.0,0.36650246381759644,0.057929896749556065,nan,nan,nan,nan,nan,nan,nan,nan,0.0,0.01144375465810299
92,525055,9024,focused,-44.84746489392638,11.525888124480844,240,0,0,0,0,0,0,,0.0,0.40208810567855835,0.04802453385200352,nan,nan,nan,nan,nan,nan,nan,nan,0.0,0.01144375465810299
93,525065,607505275,random,25.45789470789144,0.30583445355296135,10,1,0,0,0,0,0,,0.0,0.4822075366973877,0.030583445355296134,nan,nan,nan,nan,nan,nan,nan,nan,0.0,0.01144375465810299
94,525081,1563012142,random,26.17030084533961,0.7489947937428951,16,1,0,0,0,0,0,,0.0,0.33462953567504883,0.046812174608930945,nan,nan,nan,nan,nan,nan,nan,nan,0.0,0.01144375465810299
95,525088,646411840,random,19.40632178319748,3.560456722974777,7,1,0,0,0,0,0,,0.0,0.1667574942111969,0.5086366747106824,nan,nan,nan,nan,nan,nan,nan,nan,0.0,0.01144375465810299
96,525100,9066,focused,25.87407862163409,0.27867516502738,12,1,0,0,0,0,0,,0.0,0.635509729385376,0.023222930418948334,nan,nan,nan,nan,nan,nan,nan,nan,0.0,0.01144375465810299
