episode,step,episode_reward,episode_cost,episode_length,success,collision,collision_any,collision_capsule_overlap,collision_pybullet_contact,termination_collision,termination_reason,safety_violation_rate,min_distance,mean_risk,safety_filter_intervention_rate,mean_safety_filter_intervention_norm,safety_filter_safe_stop_rate,safety_filter_infeasible_rate,safety_filter_projection_failure_rate,predictive_near_miss_rate,min_predictive_h_m,mean_safety_filter_solve_time_s,lambda,alpha
96,340555,-101.6778934659331,25.230679266154766,240,0,0,0,0,0,0,,0.0,0.29858219623565674,0.10512783027564486,nan,nan,nan,nan,nan,nan,nan,nan,0.0,0.013761681504547596
97,340631,16.63034024569528,1.8079061731696129,76,1,0,0,0,0,0,,0.0,0.44931966066360474,0.0237882391206528,nan,nan,nan,nan,nan,nan,nan,nan,0.0,0.013823398388922215
98,340871,-57.64755570208719,15.87042685970664,240,0,0,0,0,0,0,,0.0,0.3713519871234894,0.066126778582111,nan,nan,nan,nan,nan,nan,nan,nan,0.0,0.013845577836036682
99,341111,-30.043762137217374,6.4908329248428345,240,0,0,0,0,0,0,,0.0,0.3601521849632263,0.027045137186845144,nan,nan,nan,nan,nan,nan,nan,nan,0.0,0.013917402364313602
100,341351,-87.46991216702017,24.79379327222705,240,0,0,0,0,0,0,,0.0,0.21026931703090668,0.10330747196761271,nan,nan,nan,nan,nan,nan,nan,nan,0.0,0.013893882744014263
101,341591,-30.757498015034514,9.958365011960268,240,0,0,0,0,0,0,,0.0,0.14818739891052246,0.04149318754983445,nan,nan,nan,nan,nan,nan,nan,nan,0.0,0.014287113212049007
102,341831,-32.86191760746307,7.5183664839714766,240,0,0,0,0,0,0,,0.0,0.23217380046844482,0.03132652701654782,nan,nan,nan,nan,nan,nan,nan,nan,0.0,0.01451745256781578
103,342071,-59.49906326634765,8.442130230367184,240,0,0,0,0,0,0,,0.0,0.47579967975616455,0.03517554262652993,nan,nan,nan,nan,nan,nan,nan,nan,0.0,0.01453009806573391
104,342311,-122.29675335832393,22.157575368881226,240,0,0,0,0,0,0,,0.0,0.30843019485473633,0.09232323070367178,nan,nan,nan,nan,nan,nan,nan,nan,0.0,0.014761313796043396
105,342551,-25.65548778874117,8.625258075073361,240,0,0,0,0,0,0,,0.0,0.4746476709842682,0.03593857531280567,nan,nan,nan,nan,nan,nan,nan,nan,0.0,0.014657948166131973
106,342791,-407.88500602520173,172.66442042589188,240,0,0,0,0,0,0,,0.15,0.004687828943133354,0.26943508510788283,nan,nan,nan,nan,nan,nan,nan,nan,0.0,0.014730291441082954
107,343031,-69.95197944577697,17.586599480360746,240,0,0,0,0,0,0,,0.0,0.27519917488098145,0.07327749783483645,nan,nan,nan,nan,nan,nan,nan,nan,0.0,0.014486563391983509
108,343271,-67.09708181556596,7.826088517904282,240,0,0,0,0,0,0,,0.0,0.4275764524936676,0.03260870215793451,nan,nan,nan,nan,nan,nan,nan,nan,0.0,0.014415930956602097
109,343511,-38.455504773626785,7.2751869056373835,240,0,0,0,0,0,0,,0.0,0.38685372471809387,0.030313278773489098,nan,nan,nan,nan,nan,nan,nan,nan,0.0,0.014670141972601414
110,343751,-35.572633438704365,5.6017646081745625,240,0,0,0,0,0,0,,0.0,0.4704612195491791,0.02334068586739401,nan,nan,nan,nan,nan,nan,nan,nan,0.0,0.01496521383523941
111,343991,-66.33217025359612,17.63842846825719,240,0,0,0,0,0,0,,0.0,0.27548500895500183,0.07349345195107163,nan,nan,nan,nan,nan,nan,nan,nan,0.0,0.01497961487621069
112,344231,-89.46408395501177,8.648743089288473,240,0,0,0,0,0,0,,0.0,0.45891767740249634,0.036036429538701974,nan,nan,nan,nan,nan,nan,nan,nan,0.0,0.01520444918423891
113,344471,-259.2192226529545,70.85451162606478,240,0,0,0,0,0,0,,0.03333333333333333,0.11085457354784012,0.1952271317752699,nan,nan,nan,nan,nan,nan,nan,nan,0.0,0.015457145869731903
114,344583,13.084974949425828,4.421725427731872,112,1,0,0,0,0,0,,0.0,0.2735413908958435,0.03947969131903457,nan,nan,nan,nan,nan,nan,nan,nan,0.0,0.015658996999263763
115,344823,-17.166659671833354,5.889899659901857,240,0,0,0,0,0,0,,0.0,0.5672546029090881,0.024541248582924405,nan,nan,nan,nan,nan,nan,nan,nan,0.0,0.015595962293446064
116,345063,-83.7249521327725,18.21401497721672,240,0,0,0,0,0,0,,0.0,0.3464556932449341,0.07589172907173633,nan,nan,nan,nan,nan,nan,nan,nan,0.0,0.015628494322299957
117,345303,-52.860258641894184,11.189138136804104,240,0,0,0,0,0,0,,0.0,0.42339566349983215,0.04662140890335043,nan,nan,nan,nan,nan,nan,nan,nan,0.0,0.015740199014544487
118,345543,-286.2493361429359,47.75178808160126,240,0,0,0,0,0,0,,0.020833333333333332,0.11021091789007187,0.1364657836733386,nan,nan,nan,nan,nan,nan,nan,nan,0.0,0.01567692682147026
