step,time,reward,cost,goal_error_norm,d_min,risk_global,beta,closest_link,safety_violation,collision,collision_capsule_overlap,collision_pybullet_contact,collision_contact_link_indices,collision_contact_link_names,collision_min_contact_distance,success,qdot_norm,acc_norm,jerk_norm,qdot_requested_norm,risk_speed_scale,risk_speed_h_min_m,recovery_active,recovery_triggered,recovery_success,recovery_initially_unsafe,recovery_initial_h_min_m,recovery_command_norm,safety_filter_status,safety_filter_intervention_norm,safety_filter_safe_stop,safety_filter_active_constraints,safety_filter_constraint_count,safety_filter_active_constraint_categories,safety_filter_max_constraint_category,safety_filter_projection_iterations,safety_filter_fallback_used,safety_filter_qp_solver_used,safety_filter_qp_solver_status,safety_filter_fallback_stage,safety_filter_max_constraint_violation,predictive_risk_status,predictive_h_min_m,predictive_h_by_link_m,predictive_distance_by_link_m,predictive_robust_distance_by_link_m,predictive_time_by_link_s,safety_jacobian_command_by_link_mps,safety_drift_by_link_mps,safety_constraint_residual_by_link_mps,filter_obstacle_position_m,filter_obstacle_velocity_mps,safety_filter_solve_time_s,safety_filter_predictive_risk_time_s,safety_filter_jacobian_workspace_time_s,safety_filter_projection_time_s
24,1.25,-0.6643155260181663,0.2849046587944031,0.49108806252479553,0.21347324550151825,0.2443813681602478,0.35,2,0,0,0,0,,,nan,0,0.7649791836738586,1.3752487897872925,20.882259368896484,0.7649783492088318,1.0,nan,0,0,0,0,0.07861910235296296,0.0,filtered,1.1512183312950254e-06,0,0,12,,predictive_link_4,0,0,1,solved,osqp,0.0,valid,0.04103886523764497,0.502207266|0.264282225|0.0410388652|0.0480388652|0.0501955654|0.0531955654,0.652207266|0.414282225|0.191038865|0.198038865|0.200195565|0.203195565,0.622207266|0.384282225|0.161038865|0.168038865|0.170195565|0.173195565,0.15|0.15|0.15|0.15|0.15|0.15,0|0.0565132482|0.187225113|0.187225113|0.118563008|0,-0.095896783|-0.111843183|-0.130305449|-0.130305449|-0.122193974|0,1.91293228|1.00179897|0.221075125|0.249075125|0.197151296|0.212782262,0.555436254|0.338018626|0.575080693,-0.0356687307|-0.125761181|-0.0347223654,0.0030479151755571365,0.0008951779454946518,0.0008116690441966057,0.0013215718790888786
25,1.3,-0.6308394275026519,0.27745938301086426,0.48460695147514343,0.21676404774188995,0.238174706697464,0.35,2,0,0,0,0,,,nan,0,0.7449237108230591,1.8768285512924194,19.942480087280273,0.7449226975440979,1.0,nan,0,0,0,0,0.07861910235296296,0.0,filtered,1.3599150717283442e-06,0,0,12,,predictive_link_5,0,0,1,solved,osqp,0.0,valid,0.04395632194903701,0.49742706|0.261525378|0.0439563219|0.0509563219|0.0501847173|0.0531847173,0.64742706|0.411525378|0.193956322|0.200956322|0.200184717|0.203184717,0.61742706|0.381525378|0.163956322|0.170956322|0.170184717|0.173184717,0.15|0.15|0.15|0.15|0.15|0.15,0|0.057208651|0.196281336|0.196281336|0.144846376|0,-0.0953209837|-0.111370291|-0.129788877|-0.129788877|-0.122572056|0,1.89438726|0.99193987|0.242317747|0.270317747|0.22301319|0.212738869,0.553653121|0.331730455|0.573344767,-0.0356687307|-0.125761181|-0.0347223654,0.002903982065618038,0.0008659865707159042,0.0007745800539851189,0.0012430250644683838
26,1.35,-0.5854821452432477,0.2686119079589844,0.47690385580062866,0.22082622349262238,0.23074422776699066,0.35,2,0,0,0,0,,,nan,0,0.7417727708816528,2.552222728729248,25.769954681396484,0.7417727708816528,1.0,nan,0,0,0,0,0.07861910235296296,0.0,passthrough,5.569988914855602e-12,0,0,12,,predictive_link_5,0,0,1,solved,osqp,0.0,valid,0.0473122081384528,0.492675907|0.258826602|0.0473122081|0.0543122081|0.0514133971|0.0544133971,0.642675907|0.408826602|0.197312208|0.204312208|0.201413397|0.204413397,0.612675907|0.378826602|0.167312208|0.174312208|0.171413397|0.174413397,0.15|0.15|0.15|0.15|0.15|0.15,0|0.0503089619|0.211472782|0.211472782|0.185398776|0,-0.094734701|-0.110877126|-0.129331924|-0.129331924|-0.12281885|0,1.87596893|0.974738242|0.27138969|0.29938969|0.268233514|0.217653588,0.551869988|0.325442284|0.571608841,-0.0356687307|-0.125761181|-0.0347223654,0.003083004616200924,0.000848802737891674,0.0009102104231715202,0.0013039801269769669
27,1.4000000000000001,-0.5342406436130421,0.25772973895072937,0.46791186928749084,0.22605229914188385,0.22154736518859863,0.35,2,0,0,0,0,,,nan,0,0.7738991975784302,2.1991522312164307,22.2514591217041,0.7738980650901794,1.0,nan,0,0,0,0,0.07861910235296296,0.0,filtered,1.4282170061796008e-06,0,0,12,,predictive_link_5,0,0,1,solved,osqp,0.0,valid,0.05142612203850319,0.487954336|0.255814399|0.051426122|0.058426122|0.0545983956|0.0575983956,0.637954336|0.405814399|0.201426122|0.208426122|0.204598396|0.207598396,0.607954336|0.375814399|0.171426122|0.178426122|0.174598396|0.177598396,0.15|0.15|0.15|0.15|0.15|0.15,0|0.0413793354|0.233891338|0.233891338|0.232066345|0,-0.0941377458|-0.110459725|-0.128970617|-0.128970617|-0.122879362|0,1.8576796|0.954177208|0.310625209|0.338625209|0.327580566|0.230393582,0.550086856|0.319154114|0.569872916,-0.0356687307|-0.125761181|-0.0347223654,0.003006492741405964,0.0008300850167870522,0.000771556980907917,0.001385331153869629
28,1.4500000000000002,-0.47747981905260983,0.2447410225868225,0.45755648612976074,0.2326318770647049,0.21052387356758118,0.35,2,0,0,0,0,,,nan,0,0.8222354054450989,2.0489444732666016,13.642007827758789,0.8222346901893616,1.0,nan,0,0,0,0,0.07861910235296296,0.0,filtered,9.401092092794414e-07,0,0,12,,predictive_link_5,0,0,1,solved,osqp,0.0,valid,0.05668755967519537,0.483262885|0.252390912|0.0566875597|0.0636875597|0.0600820575|0.0630820575,0.633262885|0.402390912|0.20668756|0.21368756|0.210082057|0.213082057,0.603262885|0.372390912|0.17668756|0.18368756|0.180082057|0.183082057,0.15|0.15|0.15|0.15|0.15|0.15,0|0.0372040319|0.2598781|0.2598781|0.274412893|0,-0.0935299272|-0.110174727|-0.128726841|-0.128726841|-0.122730038|0,1.83952161|0.936592953|0.357901498|0.385901498|0.392011086|0.25232823,0.548303723|0.312865943|0.56813699,-0.0356687307|-0.125761181|-0.0347223654,0.0030214516445994377,0.0007895268499851227,0.0008147982880473137,0.0013966886326670647
29,1.5,-0.425151547376749,0.23112106323242188,0.4461950957775116,0.24005864560604095,0.19878597557544708,0.35,2,0,0,0,0,,,nan,0,0.8601784110069275,1.8851617574691772,18.070146560668945,0.8601784110069275,1.0,nan,0,0,0,0,0.07861910235296296,0.0,passthrough,6.976863532067126e-12,0,0,12,,predictive_link_5,0,0,1,solved,osqp,0.0,valid,0.0632852849603798,0.478602102|0.248788808|0.063285285|0.070285285|0.0676723149|0.0706723141,0.628602102|0.398788808|0.213285285|0.220285285|0.217672315|0.220672314,0.598602102|0.368788808|0.183285285|0.190285285|0.187672315|0.190672314,0.15|0.15|0.15|0.15|0.15|0.15,0|0.0354297073|0.276497752|0.276497752|0.299334253|0,-0.0929110527|-0.110000532|-0.128606181|-0.128606181|-0.122478278|0,1.82149735|0.920584406|0.401032711|0.429032711|0.447545234|0.282689256,0.546520591|0.306577772|0.566401064,-0.0356687307|-0.125761181|-0.0347223654,0.0033056288957595825,0.0008412636816501617,0.0007955878973007202,0.0016477033495903015
30,1.55,-0.3748011162927358,0.21767869591712952,0.433982789516449,0.24792684614658356,0.18711794912815094,0.35,2,0,0,0,0,,,nan,0,0.8924030065536499,1.618053913116455,9.526716232299805,0.892402708530426,1.0,nan,0,0,0,0,0.07861910235296296,0.0,filtered,4.5645317494399526e-07,0,0,12,,predictive_link_5,0,0,1,solved,osqp,0.0,valid,0.07061684060949755,0.473972544|0.245118298|0.0706168406|0.0777404698|0.076501523|0.079501523,0.623972544|0.395118298|0.220616841|0.22774047|0.226501523|0.229501523,0.593972544|0.365118298|0.190616841|0.19774047|0.196501523|0.199501523,0.15|0.15|0.15|0.15|0.15|0.15,0|0.0347598744|0.285903456|0.291179281|0.318423355|0,-0.0922809284|-0.109894993|-0.129530246|-0.128584|-0.122223944|0,1.80360925|0.905338074|0.438840573|0.47355716|0.502205502|0.318006092,0.544737458|0.300289601|0.564665139,-0.0356687307|-0.125761181|-0.0347223654,0.003669491969048977,0.0009252512827515602,0.0010028351098299026,0.0017169294878840446
31,1.6,-0.32471992528831406,0.20427978038787842,0.42097312211990356,0.2562902271747589,0.17552638053894043,0.35,2,0,0,0,0,,,nan,0,0.9212459921836853,1.331986904144287,12.090409278869629,0.9212459921836853,1.0,nan,0,0,0,0,0.07861910235296296,0.0,passthrough,6.9324546141982295e-12,0,0,12,,predictive_link_5,0,0,1,solved,osqp,0.0,valid,0.07832051944359111,0.46937478|0.241429967|0.0783205194|0.0859454808|0.086279441|0.089279441,0.61937478|0.391429967|0.228320519|0.235945481|0.236279441|0.239279441,0.58937478|0.361429967|0.198320519|0.205945481|0.206279441|0.209279441,0.15|0.15|0.15|0.15|0.15|0.15,0|0.0329764494|0.297108334|0.309999358|0.341394541|0,-0.0916393592|-0.109848553|-0.130640115|-0.128629349|-0.122002853|0,1.78585976|0.888847765|0.479750297|0.525151932|0.564509451|0.357117764,0.542954326|0.29400143|0.562929213,-0.0356687307|-0.125761181|-0.0347223654,0.0029827263206243515,0.0008395984768867493,0.0008085956797003746,0.0013116002082824707
32,1.6500000000000001,-0.2786095587904245,0.19108769297599792,0.40738922357559204,0.2651030719280243,0.16415522992610931,0.35,2,0,0,0,0,,,nan,0,0.9456093311309814,1.0004030466079712,16.63368034362793,0.9456085562705994,1.0,nan,0,0,0,0,0.07861910235296296,0.0,filtered,1.032304529682607e-06,0,0,12,,predictive_link_5,0,0,1,solved,osqp,0.0,valid,0.08652532161297535,0.464809386|0.237672383|0.0865253216|0.0951085651|0.0972032644|0.100203264,0.614809386|0.387672383|0.236525322|0.245108565|0.247203264|0.250203264,0.584809386|0.357672383|0.206525322|0.215108565|0.217203264|0.220203264,0.15|0.15|0.15|0.15|0.15|0.15,0|0.0320905693|0.30758143|0.329723477|0.364073784|0,-0.0909861486|-0.109896901|-0.131711459|-0.128707101|-0.121790036|0,1.76825139|0.872883201|0.521971257|0.581450637|0.631096805|0.400813058,0.541171193|0.287713259|0.561193287,-0.0356687307|-0.125761181|-0.0347223654,0.0029390519484877586,0.0008060755208134651,0.0008207224309444427,0.0012919539585709572
33,1.7000000000000002,-0.24043794981486494,0.17861944437026978,0.3936058580875397,0.2740394175052643,0.15344662964344025,0.35,2,0,0,0,0,,,nan,0,0.9664149284362793,0.8242644667625427,9.976224899291992,0.9664149284362793,1.0,nan,0,0,0,0,0.07861910235296296,0.0,passthrough,7.79265541478691e-12,0,0,12,,predictive_link_5,0,0,1,solved,osqp,0.0,valid,0.09519158183990087,0.460276949|0.233887607|0.0951915818|0.105268949|0.109262468|0.112262468,0.610276949|0.383887607|0.245191582|0.255268949|0.259262468|0.262262468,0.580276949|0.353887607|0.215191582|0.225268949|0.229262468|0.232262468,0.15|0.15|0.15|0.15|0.15|0.15,0|0.0330342345|0.311668897|0.343958815|0.377335707|0,-0.0903210994|-0.110045128|-0.132702776|-0.128800072|-0.121563149|0,1.7507867|0.858539535|0.559732448|0.636234538|0.692822431|0.449049873,0.539388061|0.281425089|0.559457362,-0.0356687307|-0.125761181|-0.0347223654,0.0029784338548779488,0.000810929574072361,0.0008071828633546829,0.001338970847427845
34,1.75,-0.20953869917560752,0.16728481650352478,0.37991422414779663,0.28275266289711,0.1437457799911499,0.35,2,0,0,0,0,,,nan,0,0.9762365818023682,0.5801566243171692,7.979702472686768,0.976237416267395,1.0,nan,0,0,0,0,0.07861910235296296,0.0,filtered,1.1615792074466041e-06,0,0,12,,predictive_link_5,0,0,1,solved,osqp,0.0,valid,0.10400093500574567,0.455778066|0.230156698|0.104000935|0.116136894|0.121985829|0.124985823,0.605778066|0.380156698|0.254000935|0.266136894|0.271985829|0.274985823,0.575778066|0.350156698|0.224000935|0.236136894|0.241985829|0.244985823,0.15|0.15|0.15|0.15|0.15|0.15,0|0.0349085972|0.308809933|0.35129608|0.381665535|0,-0.0896440135|-0.110264175|-0.133561929|-0.128899528|-0.121329377|0,1.73346825|0.845271215|0.591251745|0.686944127|0.748279475|0.499943291,0.537604928|0.275136918|0.557721436,-0.0356687307|-0.125761181|-0.0347223654,0.0030230823904275894,0.0008110441267490387,0.0007857494056224823,0.001404808834195137
35,1.8,-0.1839544704306173,0.15714451670646667,0.3664794862270355,0.29109275341033936,0.1350974291563034,0.35,2,0,0,0,0,,,nan,0,0.9794610738754272,0.4561649560928345,5.271107196807861,0.9794605374336243,1.0,nan,0,0,0,0,0.07861910235296296,0.0,filtered,7.662908631820683e-07,0,0,12,,workspace_z_lower,0,0,1,solved,osqp,0.0,valid,0.11261232982712169,0.451313344|0.22651633|0.11261233|0.127354557|0.134923994|0.137923994,0.601313344|0.37651633|0.26261233|0.277354557|0.284923994|0.287923994,0.571313344|0.34651633|0.23261233|0.247354557|0.254923994|0.257923994,0.15|0.15|0.15|0.15|0.15|0.15,0|0.0375487837|0.302824583|0.355296077|0.381381763|0,-0.0889546922|-0.110527717|-0.134251061|-0.128993284|-0.121102629|0,1.71629868|0.833086386|0.619022841|0.73572102|0.799975111|0.551695976,0.535821795|0.268848747|0.55598551,-0.0356687307|-0.125761181|-0.0347223654,0.0030241357162594795,0.0008909683674573898,0.000792517326772213,0.001321328803896904
36,1.85,-0.16346049249874453,0.14810629189014435,0.353451132774353,0.29902026057243347,0.12741579115390778,0.35,2,0,0,0,0,,,nan,0,0.9794287085533142,0.30259275436401367,5.185428142547607,0.9794287085533142,1.0,nan,0,0,0,0,0.07861910235296296,0.0,passthrough,4.83102446999176e-12,0,0,12,,workspace_z_lower,0,0,1,solved,osqp,0.0,valid,0.12087773732685972,0.446883399|0.222999042|0.120877737|0.138748586|0.147844941|0.150844941,0.596883399|0.372999042|0.270877737|0.288748586|0.297844941|0.300844941,0.566883399|0.342999042|0.240877737|0.258748586|0.267844941|0.270844941,0.15|0.15|0.15|0.15|0.15|0.15,0|0.0408045278|0.295857014|0.358125554|0.37930898|0,-0.0882529364|-0.110822022|-0.134756882|-0.129073603|-0.120890755|0,1.69928066|0.821978673|0.644611082|0.784046297|0.84979799|0.603379765,0.534038663|0.262560576|0.554249585,-0.0356687307|-0.125761181|-0.0347223654,0.004331364296376705,0.0014921445399522781,0.0014410875737667084,0.0013659810647368431
37,1.9000000000000001,-0.14743011611195364,0.14014048874378204,0.34094032645225525,0.30644336342811584,0.12066872417926788,0.35,2,0,0,0,0,,,nan,0,0.9756841063499451,0.1878500133752823,3.646042585372925,0.9756835699081421,1.0,nan,0,0,0,0,0.07861910235296296,0.0,filtered,7.413244544317193e-07,0,0,12,,workspace_z_lower,0,0,1,solved,osqp,0.0,valid,0.12875763107961416,0.442488859|0.219633419|0.128757631|0.150258554|0.160661061|0.163661061,0.592488859|0.369633419|0.278757631|0.300258554|0.310661061|0.313661061,0.562488859|0.339633419|0.248757631|0.270258554|0.280661061|0.283661061,0.15|0.15|0.15|0.15|0.15|0.15,0|0.044903978|0.28679017|0.357983535|0.373477007|0,-0.087538547|-0.111142399|-0.135079729|-0.129136903|-0.12068964|0,1.68241689|0.812295253|0.666740965|0.829880847|0.89543161|0.654644242,0.53225553|0.256272405|0.552513659,-0.0356687307|-0.125761181|-0.0347223654,0.003020825795829296,0.000822773203253746,0.00082391407340765,0.0013542724773287773
38,1.9500000000000002,-0.1375746229298764,0.13325297832489014,0.3291425108909607,0.3132301867008209,0.11485478281974792,0.35,2,0,0,0,0,,,nan,0,0.9661211371421814,0.3569279909133911,5.81260871887207,0.9661217927932739,1.0,nan,0,0,0,0,0.07861910235296296,0.0,filtered,9.604455730172504e-07,0,0,12,,workspace_z_lower,0,0,1,solved,osqp,0.0,valid,0.13615931987548757,0.438130365|0.216457071|0.13615932|0.161733993|0.173185364|0.176185364,0.588130365|0.366457071|0.28615932|0.311733993|0.323185364|0.326185364,0.558130365|0.336457071|0.25615932|0.281733993|0.293185364|0.296185364,0.15|0.15|0.15|0.15|0.15|0.15,0|0.0490091984|0.27473359|0.353437399|0.363102286|0,-0.0868113268|-0.111471953|-0.135225557|-0.129187255|-0.120508223|0,1.66571013|0.803365529|0.684145313|0.871186116|0.93533552|0.704741456,0.530472398|0.249984249|0.550777733,-0.0356687307|-0.125761181|-0.0347223654,0.002774870954453945,0.0007826220244169235,0.0007627867162227631,0.0012107118964195251
39,2.0,-0.1332962239152875,0.12748803198337555,0.31821247935295105,0.3192005157470703,0.11000519245862961,0.35,2,0,0,0,0,,,nan,0,0.9482596516609192,0.5513218641281128,5.494593143463135,0.9482598900794983,1.0,nan,0,0,0,0,0.07861910235296296,0.0,filtered,3.919875228658556e-07,0,0,12,,workspace_z_lower,0,0,1,solved,osqp,0.0,valid,0.14294903146736526,0.433808609|0.213466314|0.142949031|0.172956696|0.185196143|0.188196143,0.583808609|0.363466314|0.292949031|0.322956696|0.335196143|0.338196143,0.553808609|0.333466314|0.262949031|0.292956696|0.305196143|0.308196143,0.15|0.15|0.15|0.15|0.15|0.15,0|0.0526311609|0.258655268|0.342504496|0.346489875|0,-0.0860710976|-0.111796498|-0.135207711|-0.1292263|-0.120343324|0,1.64916334|0.794699917|0.695243682|0.905104979|0.966931124|0.752784573,0.528689265|0.243696257|0.549041808,-0.0356687307|-0.125761181|-0.0347223654,0.0029106494039297104,0.0008421549573540688,0.0008012894541025162,0.0012473883107304573
40,2.0500000000000003,-0.132563836729297,0.12274434417486191,0.3082014322280884,0.32432660460472107,0.10602960735559464,0.35,2,0,0,0,0,,,nan,0,0.9270889759063721,0.6488077640533447,4.6048760414123535,0.9270889759063721,1.0,nan,0,0,0,0,0.07861910235296296,0.0,passthrough,5.270228698553403e-12,0,0,12,,workspace_z_lower,0,0,1,solved,osqp,0.0,valid,0.14894321042020908,0.429524194|0.210632251|0.14894321|0.183610804|0.196386225|0.199386225,0.579524194|0.360632251|0.29894321|0.333610804|0.346386225|0.349386225,0.549524194|0.330632251|0.26894321|0.303610804|0.316386225|0.319386225,0.15|0.15|0.15|0.15|0.15|0.15,0|0.055036328|0.241692207|0.329307873|0.328766892|0,-0.0853176396|-0.112094931|-0.135048117|-0.129257242|-0.120198392|0,1.63277913|0.785470399|0.702416932|0.934493848|0.994113402|0.797544902,0.526906133|0.237408265|0.547305882,-0.0356687307|-0.125761181|-0.0347223654,0.00441716518253088,0.0014517968520522118,0.0014042463153600693,0.001529838889837265
41,2.1,-0.13452867388319767,0.1188647449016571,0.2991262972354889,0.32866978645324707,0.10279159247875214,0.35,2,0,0,0,0,,,nan,0,0.9043901562690735,0.7954586744308472,4.235049724578857,0.9043901562690735,1.0,nan,0,0,0,0,0.07861910235296296,0.0,passthrough,1.0723644195896047e-11,0,0,12,,workspace_z_lower,0,0,1,solved,osqp,0.0,valid,0.1541105061482403,0.425277787|0.207895518|0.154110506|0.193590819|0.206702176|0.209702176,0.575277787|0.357895518|0.304110506|0.343590819|0.356702176|0.359702176,0.545277787|0.327895518|0.274110506|0.313590819|0.326702176|0.329702176,0.15|0.15|0.15|0.15|0.15|0.15,0|0.0568872167|0.225711839|0.316156991|0.311797412|0,-0.0845507558|-0.112370244|-0.13477249|-0.129276041|-0.12006204|0,1.61656039|0.776099045|0.707381373|0.961244226|1.01854408|0.838808704,0.525123|0.231120273|0.545569956,-0.0356687307|-0.125761181|-0.0347223654,0.003182035870850086,0.0008929073810577393,0.0009360238909721375,0.0013336529955267906
42,2.15,-0.13860503054481405,0.11574311554431915,0.2909824550151825,0.33226457238197327,0.10019877552986145,0.35,2,0,0,0,0,,,nan,0,0.8790858387947083,1.0464067459106445,5.964606285095215,0.8790847659111023,1.0,nan,0,0,0,0,0.07861910235296296,0.0,filtered,1.4284021480240823e-06,0,0,12,,workspace_z_lower,0,0,1,solved,osqp,0.0,valid,0.1585084663227242,0.421070065|0.205231242|0.158508466|0.20290509|0.216185572|0.219185572,0.571070065|0.355231242|0.308508466|0.35290509|0.366185572|0.369185572,0.541070065|0.325231242|0.278508466|0.32290509|0.336185572|0.339185572,0.15|0.15|0.15|0.15|0.15|0.15,0|0.0584896403|0.210197895|0.302089449|0.294464381|0,-0.0837702501|-0.112630105|-0.134404984|-0.129281681|-0.119931405|0,1.60051001|0.766784504|0.709826776|0.984428127|1.03927526|0.876742288,0.523339868|0.224832281|0.543834031,-0.0356687307|-0.125761181|-0.0347223654,0.00411779060959816,0.0014807945117354393,0.0010902006179094315,0.001514071598649025
43,2.2,-0.14545168544756684,0.11332190036773682,0.28380873799324036,0.33511096239089966,0.09820014983415604,0.35,2,0,0,0,0,,,nan,0,0.8527365922927856,1.2723677158355713,4.873315334320068,0.8527363538742065,1.0,nan,0,0,0,0,0.07861910235296296,0.0,filtered,3.6222573879295564e-07,0,0,12,,workspace_z_lower,0,0,1,solved,osqp,0.0,valid,0.16216803218358478,0.416901713|0.2026279|0.162168032|0.211513075|0.224823127|0.227823127,0.566901713|0.3526279|0.312168032|0.361513075|0.374823127|0.377823127,0.536901713|0.3226279|0.282168032|0.331513075|0.344823127|0.347823127,0.15|0.15|0.15|0.15|0.15|0.15,0|0.0592012732|0.194485048|0.286431158|0.276648169|0,-0.0829759285|-0.112874387|-0.133970529|-0.12927867|-0.11981514|0,1.58463092|0.756838485|0.709186649|1.00320479|1.05612554|0.91129251,0.521556735|0.218544289|0.542098105,-0.0356687307|-0.125761181|-0.0347223654,0.0033393315970897675,0.001141238957643509,0.0009509259834885597,0.0012163836508989334
44,2.25,-0.15479215959394424,0.11151491850614548,0.27763795852661133,0.3372611403465271,0.09672150015830994,0.35,2,0,0,0,0,,,nan,0,0.8297093510627747,1.3623489141464233,2.8408312797546387,0.8297093510627747,1.0,nan,0,0,0,0,0.07861910235296296,0.0,passthrough,5.699662964040265e-12,0,0,12,,workspace_z_lower,0,0,1,solved,osqp,0.0,valid,0.16508540811692096,0.412773426|0.200041796|0.165085408|0.219340697|0.232594502|0.235594502,0.562773426|0.350041796|0.315085408|0.369340697|0.382594502|0.385594502,0.532773426|0.320041796|0.285085408|0.339340697|0.352594502|0.355594502,0.15|0.15|0.15|0.15|0.15|0.15,0|0.0587986945|0.179723003|0.271430093|0.260831804|0,-0.0821675986|-0.113105788|-0.133494479|-0.129267254|-0.119711213|0,1.56892611|0.74586009|0.706570156|1.01952563|1.0714986|0.942378009,0.519773602|0.212256297|0.540362179,-0.0356687307|-0.125761181|-0.0347223654,0.004249273799359798,0.0014678994193673134,0.001370851881802082,0.0013790447264909744
45,2.3000000000000003,-0.1671722000778187,0.11038929224014282,0.2725295126438141,0.3385942876338959,0.09702324122190475,0.35,2,0,0,0,0,,,nan,0,0.806908130645752,1.3793593645095825,4.510849475860596,0.806908130645752,1.0,nan,0,0,0,0,0.07861910235296296,0.0,passthrough,8.199663171520058e-12,0,0,12,,workspace_z_lower,0,0,1,solved,osqp,0.0,valid,0.1673098551597787,0.408685911|0.197419731|0.167309855|0.226425429|0.239599911|0.242599907,0.558685911|0.347419731|0.317309855|0.376425429|0.389599911|0.392599907,0.528685911|0.317419731|0.287309855|0.346425429|0.359599911|0.362599907,0.15|0.15|0.15|0.15|0.15|0.15,0|0.056888408|0.162418298|0.251154987|0.240913606|0,-0.0813450704|-0.113340638|-0.132996816|-0.129240534|-0.119605924|0,1.55339857|0.733226696|0.698660902|1.02761617|1.07970733|0.970399628,0.51799047|0.205968305|0.538626254,-0.0356687307|-0.125761181|-0.0347223654,0.002841881476342678,0.0007901350036263466,0.0007754843682050705,0.0012564724311232567
46,2.35,-0.18321910953593487,0.11035841703414917,0.2685573101043701,0.3390691876411438,0.09984573721885681,0.35,2,0,0,0,0,,,nan,0,0.7896198630332947,1.0690209865570068,13.685321807861328,0.7896198630332947,1.0,nan,0,0,0,0,0.07861910235296296,0.0,passthrough,5.695444118038951e-12,0,0,12,,workspace_z_lower,0,0,1,solved,osqp,0.0,valid,0.1687166631450545,0.404639881|0.194681669|0.168716663|0.232505312|0.245634284|0.248634284,0.554639881|0.344681669|0.318716663|0.382505312|0.395634284|0.398634284,0.524639881|0.314681669|0.288716663|0.352505312|0.365634284|0.368634284,0.15|0.15|0.15|0.15|0.15|0.15,0|0.0532826204|0.144337342|0.228690768|0.219182693|0,-0.0805081567|-0.113558824|-0.132503301|-0.129198439|-0.119490752|0,1.53805137|0.718450473|0.686700694|1.02951358|1.08222908|0.994537138,0.516207337|0.199680313|0.536890328,-0.0356687307|-0.125761181|-0.0347223654,0.0030395695939660072,0.0009963586926460266,0.0008002137765288353,0.0012232689186930656
47,2.4000000000000004,-0.20015040723380942,0.11362387239933014,0.2655271589756012,0.3388267159461975,0.10281813889741898,0.35,2,0,0,0,0,,,nan,0,0.7742825150489807,0.7740209102630615,13.125316619873047,0.7742820978164673,1.0,nan,0,0,0,0,0.07861910235296296,0.0,filtered,4.6384585989586596e-07,0,0,12,,workspace_z_lower,0,0,1,solved,osqp,0.0,valid,0.16926266681406454,0.40063606|0.191740833|0.169262667|0.237469951|0.250601817|0.253601817,0.55063606|0.341740833|0.319262667|0.387469951|0.400601817|0.403601817,0.52063606|0.311740833|0.289262667|0.357469951|0.370601817|0.373601817,0.15|0.15|0.15|0.15|0.15|0.15,0|0.0496400459|0.129225048|0.209841959|0.200322687|0,-0.0796566732|-0.113747473|-0.132026711|-0.12913162|-0.119328622|0,1.52288757|0.702855905|0.674249004|1.03059014|1.08340133|1.01440727,0.514424205|0.193392321|0.535154402,-0.0356687307|-0.125761181|-0.0347223654,0.002931109629571438,0.000802166759967804,0.0008131330832839012,0.0012956708669662476
48,2.45,-0.20943582510233577,0.11649643629789352,0.2630022466182709,0.3380379378795624,0.10538332909345627,0.35,2,0,0,0,0,,,nan,0,0.7567383646965027,0.6888235211372375,10.546688079833984,0.7567370533943176,1.0,nan,0,0,0,0,0.07861910235296296,0.0,filtered,1.4777546977933575e-06,0,0,12,,workspace_z_lower,0,0,1,solved,osqp,0.0,valid,0.16908911478839628,0.396675182|0.188598518|0.169089115|0.241498669|0.254640829|0.257640824,0.546675182|0.338598518|0.319089115|0.391498669|0.404640829|0.407640824,0.516675182|0.308598518|0.289089115|0.361498669|0.374640829|0.377640824,0.15|0.15|0.15|0.15|0.15|0.15,0|0.0478322245|0.117610742|0.193968114|0.183758135|0,-0.0787904394|-0.113909151|-0.131564859|-0.12903579|-0.119108726|0,1.50791029|0.688317147|0.662402342|1.030927|1.08321272|1.0305633,0.512641072|0.187104329|0.533418477,-0.0356687307|-0.125761181|-0.0347223654,0.002773008309304714,0.0007838960736989975,0.0007512709125876427,0.0012175589799880981
49,2.5,-0.21191823965329404,0.11857058107852936,0.26063817739486694,0.3369879126548767,0.10714820772409439,0.35,2,0,0,0,0,,,nan,0,0.7444543242454529,0.6032044887542725,10.349942207336426,0.7444543242454529,1.0,nan,0,0,0,0,0.07861910235296296,0.0,passthrough,6.293077170996347e-12,0,0,12,,workspace_z_lower,0,0,1,solved,osqp,0.0,valid,0.16836703410565212,0.392757988|0.1853488|0.168367034|0.244739892|0.25786522|0.26086522,0.542757988|0.3353488|0.318367034|0.394739892|0.40786522|0.41086522,0.512757988|0.3053488|0.288367034|0.364739892|0.37786522|0.38086522,0.15|0.15|0.15|0.15|0.15|0.15,0|0.0487920661|0.111815939|0.18544471|0.175102992|0,-0.0779092786|-0.114027485|-0.131117338|-0.12893366|-0.118880218|0,1.49312267|0.676159782|0.654166737|1.03547062|1.08768366|1.04346088,0.51085794|0.180816337|0.531682551,-0.0356687307|-0.125761181|-0.0347223654,0.0036716368049383163,0.0007841121405363083,0.001039513386785984,0.0018232250586152077
